autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
jonas m,"Fort Myers, Flórida","A estrada da serra do rio do rastro é muito linda, aconselho a ir de dia, com tempo bom, para poder aproveitar bem o passeio, pois, para quem não conhece a estrada a noite ela se torna perigosa, e com chuva, pior ainda. A vista lá de cima é incrível. Recentemente essa estrada foi considerada a mais bonita do mundo. Vale a pena passar um domingo na serra, e ir até o mirante.",set de 2014 • Casais,Uma vista linda.
KristhyanoRauber,"Treviso, SC","Um lugar lindo.. percorrer toda a estrada ate o topo é uma aventura incrivel. Pra quem curte beleza natural , e um roteiro obrigatorio. Apos percorrer a estrada, chega-se ao topo e se tem uma visao maravilhosa, tem uns barzinhos que vendem salgados, agua. Tem banheiro e  um pequeno parque eolico. Ainda com alguma sorte, pode-se ver quatis.",out de 2014 • Amigos,beleza natural incrivel..
marcos_deia,"Bragança Paulista, SP","A Serra do Rio do Rastro é linda porém antes de ir faça uma boa manutenção no carro, pois quando fomos haviam vários carros parados na estrada. Detalhe que quando chegamos lá em cima não havia nenhum mecânico e não achamos a pessoa do guincho também ( uma das pessoas que estavam paradas nos pediu que lhe enviasse socorro).",dez de 2014 • Família,Lindo!!
neusaf648,"São Miguel do Oeste, SC","Pegamos um dia nublado, mas o local é realmente lindo... Uma magnífica obra... Vale a pena conhecer...",set de 2014 • Amigos,Lindo
PAULOC C,"São Paulo, SP","Uma das estradas mais fascinantes que já percorri, . Sai de Criciuma, subi até Lauro Muller, de lá tem inicio essa serrea, segura, fascinante, alguns pontos de parada para observar pelo mirante a paisagem local. Curvas fantastiscas, verdadeiros cotovelos, porém como já disse, segura, desde que observado os limites. SUbimos até Bom \Jesus da Serra, no alto, no topo, temperatura cai bastante, tem cafeteria, chocolate quente, muitos quatis, artesanato local, e uma vista sisplesmente deslumbrante.",ago de 2014 • Casais,IMPRESSIONANTEMENTE BELA
FlávioMello M,Campinas,A Serra do Rio do Rastro é impressionante. Muitas curvas e muita beleza a cada curva. Do mirante a vista é imperdível.,fev de 2014 • Casais,Lindo
Tamaralima,"Lages, SC","A serra tem uma importância histórica na região, e a beleza é de tirar o fôlego!",,Fabulosa
GiovaniUrio,"Getúlio Vargas, RS","Um ponto turistico fantástico, fazendo a decida da serra tem um visual incrível, apesar de ser perigosa pelas suas curvas fechadas é muito gratificante passar por ela, por sua paisagem, a natureza, em meio a serra tem um comércio de artigos sobre a serra, em alguns momentos a serra é completamente fechada pela neblina e em poucos minutos ela abre por completo deixando com um visual muito bonito, recomendo",jan de 2014 • Amigos,Trajeto sensacional
Cicero B,"Porto Alegre, RS","Em Santa Catarina, um maravilhoso passeio na Serra Do Rio do Rastro.",abr de 2014 • Casais,Excelente passeio
Kalinka I,"Florianópolis, SC","A subida da serra é cheia de curvas que instigam adrenalina, um trecho considerado perigoso e ao mesmo tempo maravilhoso para admirar. Algumas paradas no meio do caminho valem a pena. O visual do topo do morro é maravilhoso quando não está coberto de neblina, recomendo visitar próximo o meio dia no verão. No inverno a incidência de neblina é menor, mas há riscos de pista molhada. Muito cuidado com os guaxinins que vivem no local e gostam de procurar comida junto aos visitantes.",jun de 2014 • Família,Trajeto com vista panorâmica surpreendente
Mauricio G,"Caçador, SC","Descer de moto é muito legal! Uma pena que dessa última vez, o tempo estava fechado, e não pudemos ir no mirante para tirar fotos.",dez de 2014 • Amigos,Moto
F B,"Vitória, ES","A serra é uma ótima experiência para motociclistas. Tome cuidado com os Caminhões, não são muitos, mas eles não cabem nas curvas.",dez de 2014 • Casais,De moto é uma experiência muito legal.
Medraurus,"Brasília, DF","Subir ou descer a Serra do Rio do Rastro foi algo indescritível e emocionante. Dirigir no local deve-se redobrar a atenção pois o trecho é ultra sinuoso, íngreme e movimentada de carros e caminhões.",dez de 2014 • Casais,Espetacular
KellyVictoretti,"Tubarão, SC","Sempre viajo pra Serra e sempre tenho uma visão nova, diferente. A natureza sempre nos surpreendendo!",jul de 2014 • Amigos,Linda!
Agoraeahora,"Porto Alegre, RS",O local tem vistas de tirar o fôlego. Muito lindo. Deve-se ficar atento ao dirigir no local pois há muitas curvas perigosas.,dez de 2014 • Casais,Lindo local
DenyCesar,"Arapongas, PR","Descer e subir a Serra do Rio do Rastro de bicicleta foi ótimo, o tempo colaborou fornecendo uma vista fantástica!",nov de 2014 • Amigos,Ótimo para bike turismo
JSG17,Paraná,"Melhor passeio que fiz no último mês!   A serra é deslumbrante, além da estrada que pra quem gosta de emoção é perfeita! Os pontos de parada oferecem fotos com lindas paisagens. Aconselho a subir e descer a serra pois são duas experiências totalmente diferentes, no meu caso e de meu namorado subimos ela com sol e tudo limpo sem neblina e descemos por ela uma hora depois e ela já estava totalmente tomada por densa neblina, pra quem gosta de se aventurar  e ter emoção enquanto dirige ela sem dúvida eh a mais indicada.  Vou voltar la sem dúvida alguma!  Pra quem chega ate o topo tem o parque eólico,  custa 10,00 pra ver os ""cataventos"" de perto e ter acesso aos cânions que são outro espetáculo para os olhos. Vale a pena ir tbm!!!!",,Simplesmente perfeita! 
Marcio M,"Rio de Janeiro, Rio de Janeiro, Brazil",Fazer a descida ou subida mostra ângulos diferentes e vale a pena. Não fazer muito cedo ou tarde do dia para ter uma iluminação melhor.  Não perca de vista várias das cachoeiras que podem ser avistadas ao longo da estrada.,jan de 2014 • Família,Excelente e imperdível !
whitejones,42 contribuições,"É um lugar que vale várias visitas. Uma estrada de paisagem incrível, natureza surpreendente e uma emoção a mais para quem vai dirigir. O traçado sobe sobre o paredão muito íngreme da serra e é cheio de curvas apertadas. Pela noite é meio assustador, mas vale pela emoção. Durante o dia o visual é impressionante e o valor histórico da estrada fecha o pacote. Não deixe de ir, mas á com tempo: quando algum veículo tem problemas na estrada ela fica fechada por horas. Ah, e pesquise sobre a previsão de neblina no dia da viagem, quando o tempo abre a visão é inesquecível.",nov de 2014 • Casais,Maravilhoso para dirigir ou só olhar.
Maria1908,"Curitiba, PR","Esta magnífica obra, feita pelas mãos humanas é de deixar qualquer visitante embasbacado. É uma incrível estrada de serra bem estreita que vai serpenteando as altas montanhas. Os motoristas precisam dirigir com muita responsabilidade e respeitando os limites de velocidades, que são baixam, para que nenhum acidente aconteça. O passeio por ali é lindíssimo e inesquecível. Existem algumas paradas no meio da estrada e outra no ponto mais alto, onde se tem uma vista maravilhosa da serra e da própria estrada. À noite a estrada vista do alto toda iluminada é outro presente para os olhos. Imperdível!!",nov de 2014 • Casais,Obra fantástica!!
Robson L,"Curitiba, PR","Um lugar para voltar. Região maravilhosa, natureza exuberante. Mirante, parques, vinículas, perfeito para um passeio romântico.",mai de 2014 • Casais,Trajeto indescritivel
Leilane M,271 contribuições,"Todos os anos, no inverno, visito a serra. Dá um pouco de medo na subida, pelas curvas que tem, mas a visão lá de cima é incrível, principalmente a noite. Há uns quatis no mirante. Vale muito a pena conhecer.",,Linda paisagem 
Leo G,75 contribuições,"A paisagem é deslumbrante, chama a atenção pela construção. Tem que ter cuidado com os caminhões que trafegam, que nas curvas acabam invadindo a pista contrária para vencer. Manter uma boa distância e ultrapassar somente com o aviso do veículo da frente.",mar de 2014 • Família,Paisagem deslumbrante
EderSilva78,"Forquilhinha, SC",A vistá é fantástica. Várias cachoeiras e muita vegetação.,out de 2014 • Amigos,Curvas e Curvas
HST,"Lake Arrowhead, Califórnia","Consta do melhores guias para mototurismo esta serra como sinônimo de beleza natural, design, dificuldade e prazer de pilotar.",nov de 2014 • Amigos,Entre as melhores para duas rodas
talestpo,"Santa Maria, RS","Passei no local num dia chuvoso. Não consegui ver a serra no mirante, as nuvens tampavam a visão. O local é belíssimo. Acredito que seja a estrada mais tortuosa do Brasil. Natureza belíssima. Pretendo retornar!",dez de 2013 • Casais,Estrada
Heliomar,"Barracão, PR","Foi minha primeira viagem pela Serra do Rio do Rastro, a cada curva uma visão espetacular! Além da inegável obra de engenharia que atrai e convida a um pequeno desafio de bom motorista, com curvas fechadas em pontos onde passa-se a centrímetros dos paredões que circundam a estrada, tem que mostrar habilidade nas manobras quando em curva, encontra-se um veículo maior... feito isso, chega-se ao topo da serra e no mirante... a espetacular visão de uma das obras primas da natureza... Recomendo aos amantes da natureza... Compensa enfrentar as curvas na subida ou na descida da serra, o prêmio: Uma bela visão de uma paisagem incrível!",jan de 2014 • Família,Para apreciadores das maravilhas naturais...
Mari F,"Backnang, Alemanha",Lugar lindo de beleza natural pitoresca! Incrivel o que o homem conseguiu construir naquele local. uma estrada que é perigosa mas encantadora ao mesmo tempo.,dez de 2013 • Amigos,Serra
ErnestinaMuzzi,"Belo Horizonte, MG","Descer ou subir a Serra do Rio do Rastro é uma experiência única. Uma estrada tortuosa, belíssima, construída na pedra da montanha, com curvas muito apertadas e frequentada também por caminhões. A imensa beleza compensa os perigos. Merece muita atenção ao dirigir, mas há paradas seguras para fotos e contemplação.",nov de 2014 • Casais,Imperdível!
Willian M,Curitiba,Um ótimo passeio com a família em um lugar muito bonito. No dia em que fui 22/11 deu até para tomar um chocolate quente.,,Visita em família
Monique A,32 contribuições,"Estrada linda, nunca vi igual, realizando sonho do sogro, se tornou um sonho pra mim tbm!!! São 12 KM mas parece menos, pois vc aproveita cada metro da beleza da natureza... tem algumas cachoeiras no caminho, engraçado os caminhões pra fazer curvas precisam dar ré. Sensacional.",nov de 2014 • Família,Linda
adrianahrsantos,Itajaí,"O visual é maravilhoso! Imperdível, a subida da serra é emocionante e a paisagem vista do mirante é muito bonita. O clima da serra é agradável e romântico.",ago de 2014 • Casais,Maravilhoso!
AC Duarte,"São Paulo, SP","Natureza exuberante. Ponto turístico lindo, de deixar de queixo caído. Subi de moto, a cada curva uma nova emoção. A noite toda iluminada, desci e subiu novamente, cada curva a moto deitava... De arrepiar.",,Fantástica
Silvia B,"Novo Hamburg, Rio Grande do Sul, Brazil","A estrada da Serra do Rio do Rastro é muito linda, algumas curvas assustam um pouco. A vista dos paradouros é linda .No mirante se o tempo estiver limpo você terá uma visão espetacular da estrada e da natureza. É um passeio que vale a pena.",nov de 2014 • Casais,Estrada muito bela!
Eugenia Lisboa H,"Santos, SP","Visitamos a Serra do Rastro e ficamos realmente encantados. Desde sua estrada que subimos e descemos duas vezes para pararmos e contemplarmos a Serra, as cachoeiras, a vista das infinitas  curvas.",nov de 2014 • Casais,Linda demais
Paulo C,8 contribuições,"A meca do Moto Turismo Brasileiro, com um visual arrebatador, centenas de curvas e muitas belezas naturais, fazem com que passear na Serra do Rio do Rastro seja uma experiencia inesquecivel.",mar de 2014 • Casais,A Mais Linda estrada do Brasil
Aldo Eurico,"Santo André, SP","Uma das belas estradas do Brasil, sinuosa, cada curva uma surpresa, cenário de filmes, com certeza  viajantes que curtam a estrada vale muito a pena conhece-la. atentar somente as condições do tempo que por sinal lá é muito variável , quando visitei o mirante estava fechado pela neblina,.",jan de 2014 • Família,Linda Estrada
2013SDY,"Morro da Fumaça, SC","Este lugar é muito lindo, a paisagem então sem comentários!!",mai de 2014 • Família,Incrível
Kassio V,"São Vicente, SP","Experiência INESQUECÍVEL, impressionante a harmonia entre a estrada sinuosa e o gigantismo da natureza. A vista do mirante nos deixa por alguns segundos calados...refletindo que ainda é possível o homem e a natureza conviver no mesmo espaço.",nov de 2014 • Amigos,Gigante pela própria Natureza
André Mudrei,"Irati, PR","Já estive duas vezes na Serra do Rio do Rastro em um período de dez meses e iria agora novamente se pudesse. A serra é belíssima, com uma paisagem espetacular e uma flora exuberante. É uma maravilha fazer a descida, ir parando nos mirantes e aproveitar a vista. Infelizmente é possível pegar neblina ou cerração, dependendo do horário. Entre 10h e 14h (mais ou menos) é mais fácil visualizar a serra; é comum estar limpa nesse período",out de 2014 • Amigos,Uma estrada turísica espetacular
Lucieni,"Curitiba, PR","A Serra do Rio do Rastro faz a ligação entre a serra e o litoral catarinense. É muito sinuosa e é preciso ir devagar, principalmente com neblina. É de impressionar como caminhões e ônibus transitam na Serra e dividem curvas com relativa tranquilidade. Vale cada curva, pela emoção e pela paisagem.",set de 2014 • Casais,Incrível
Fernanda G,"Joinville, SC","A serra é linda, é possível ver bichinhos típicos da montanha e são dóceis. Fui no verão e quero voltar no inverno, pois acho que é um charme a serra neste período.",dez de 2013 • Casais,Lugar Incrivel para que ama a natureza
